"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"io.netty.channel.AbstractChannelHandlerContext.write(Object) AbstractChannelHandlerContext.java","2356","0.7","21","3032"
"io.netty.buffer.ByteBufUtil.firstIndexOf(AbstractByteBuf, int, int, byte) ByteBufUtil.java","2341","0.3","252","7604"
"io.netty.buffer.AbstractReferenceCountedByteBuf.isAccessible() AbstractReferenceCountedByteBuf.java","2216","< 0.1","402","82101"
"io.netty.channel.AbstractChannelHandlerContext.executor() AbstractChannelHandlerContext.java","1992","< 0.1","550","79099"
"io.netty.buffer.AbstractByteBufAllocator.directBuffer(int) AbstractByteBufAllocator.java","1981","0.4","25","4558"
"io.netty.buffer.AbstractByteBufAllocator.directBuffer(int, int) AbstractByteBufAllocator.java","1955","0.4","40","4558"
"io.netty.channel.ChannelOutboundBuffer.removeBytes(long) ChannelOutboundBuffer.java","1921","1","51","1520"
"io.netty.buffer.PooledByteBufAllocator.newDirectBuffer(int, int) PooledByteBufAllocator.java","1876","0.4","54","4558"
"io.netty.util.internal.ReferenceCountUpdater.isLiveNonVolatile(ReferenceCounted) ReferenceCountUpdater.java","1814","< 0.1","608","82101"
"io.netty.channel.ChannelOutboundBuffer.remove() ChannelOutboundBuffer.java","1800","0.5","44","3036"
"io.netty.buffer.AbstractByteBuf.writeBytes(ByteBuf, int, int) AbstractByteBuf.java","1778","0.2","63","7603"
"io.vertx.core.http.impl.headers.HeadersMultiMap.writeAscii(ByteBuf, int, CharSequence) HeadersMultiMap.java","1753","0.2","32","6080"
"io.netty.buffer.PoolArena.allocate(PoolArenasCache, int, int) PoolArena.java","1646","0.3","38","4558"
"io.netty.channel.DefaultChannelPipeline$HeadContext.write(ChannelHandlerContext, Object, ChannelPromise) DefaultChannelPipeline.java","1624","0.5","14","3036"
"io.netty.channel.AbstractChannel$AbstractUnsafe.write(Object, ChannelPromise) AbstractChannel.java","1609","0.5","54","3036"
"io.netty.buffer.AbstractByteBuf.setCharSequence(int, CharSequence, Charset) AbstractByteBuf.java","1538","0.3","20","4560"
"io.netty.buffer.AbstractByteBuf.setCharSequence0(int, CharSequence, Charset, boolean) AbstractByteBuf.java","1518","0.3","34","4560"
"io.netty.handler.codec.http.HttpObjectDecoder$LineParser.parse(ByteBuf) HttpObjectDecoder.java","1391","0.9","35","1521"
"io.netty.buffer.ByteBufUtil.writeAscii(AbstractByteBuf, int, CharSequence, int) ByteBufUtil.java","1248","0.2","21","4560"
"io.netty.buffer.ByteBufUtil.writeAsciiCharSequence(AbstractByteBuf, int, CharSequence, int) ByteBufUtil.java","1227","0.2","218","4560"
"io.netty.buffer.AbstractReferenceCountedByteBuf.release() AbstractReferenceCountedByteBuf.java","1216","0.2","33","4558"
"io.netty.channel.nio.AbstractNioByteChannel.filterOutboundMessage(Object) AbstractNioByteChannel.java","1179","0.3","20","3036"
"io.vertx.core.json.JsonObject.toString() JsonObject.java","1155","0.7","7","1520"
"io.vertx.core.json.JsonObject.encode() JsonObject.java","1148","0.7","8","1520"
"io.vertx.core.json.jackson.JacksonCodec.toString(Object, boolean) JacksonCodec.java","1139","0.7","30","1520"
"io.netty.channel.nio.AbstractNioChannel.newDirectBuffer(ByteBuf) AbstractNioChannel.java","1124","0.7","31","1516"
"io.netty.buffer.AbstractByteBuf.ensureWritable0(int) AbstractByteBuf.java","981","< 0.1","213","21285"
"io.netty.buffer.PoolArena.allocate(PoolArenasCache, PooledByteBuf, int) PoolArena.java","971","0.2","37","4558"
"io.netty.buffer.AbstractReferenceCountedByteBuf.handleRelease(boolean) AbstractReferenceCountedByteBuf.java","957","0.2","21","4558"
"io.netty.buffer.AbstractByteBuf.ensureWritable(int) AbstractByteBuf.java","951","< 0.1","124","16725"
"io.netty.buffer.PooledUnsafeDirectByteBuf._setByte(int, int) PooledUnsafeDirectByteBuf.java","940","< 0.1","314","47120"
"io.netty.buffer.PooledByteBuf.deallocate() PooledByteBuf.java","935","0.2","44","4557"
