"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.cactoos.text.TextOf.<init>(Bytes) TextOf.java","103","< 0.1","15","4510"
"org.takes.rs.RsWithoutHeader.lambda$new$1(CharSequence, Response) RsWithoutHeader.java","96","0.5","1","165"
"java.util.stream.FindOps$FindOp.evaluateSequential(PipelineHelper, Spliterator) FindOps.java","96","0.1","5","660"
"java.net.ServerSocket.accept() ServerSocket.java","96","0.8","0","110"
"org.cactoos.list.ListOf.<init>(Object[]) ListOf.java","91","0.1","3","715"
"java.util.LinkedList.add(Object) LinkedList.java","89","< 0.1","35","10120"
"org.cactoos.text.UncheckedText.<init>(Text) UncheckedText.java","88","< 0.1","53","10065"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","88","< 0.1","53","8030"
"org.cactoos.text.TextEnvelope.<init>(Text) TextEnvelope.java","88","< 0.1","88","51920"
"sun.nio.ch.NioSocketImpl.available() NioSocketImpl.java","87","< 0.1","48","7315"
"java.util.concurrent.locks.ReentrantLock$Sync.lock() ReentrantLock.java","86","< 0.1","34","7920"
"sun.nio.ch.NioSocketImpl.beginRead() NioSocketImpl.java","86","< 0.1","52","7810"
"org.cactoos.scalar.Not.value() Not.java","85","0.2","1","385"
"org.cactoos.text.StartsWith.value() StartsWith.java","84","0.2","1","385"
"org.cactoos.text.StartsWith.value() StartsWith.java","82","0.2","2","385"
"org.takes.misc.Opt$Single.get() Opt.java","80","< 0.1","80","37565"
"org.cactoos.list.ListOf.<init>(Iterable) ListOf.java","78","0.1","14","715"
"org.cactoos.text.Lowered.<init>(CharSequence) Lowered.java","78","< 0.1","4","880"
"org.cactoos.iterable.IterableOf.iterator() IterableOf.java","77","< 0.1","10","1925"
"java.util.stream.AbstractPipeline.wrapAndCopyInto(Sink, Spliterator) AbstractPipeline.java","77","0.1","3","660"
"java.util.regex.Pattern$BmpCharPredicate.lambda$union$2(Pattern$CharPredicate, int) Pattern.java","70","< 0.1","41","11605"
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object, Object) DirectMethodHandle$Holder","69","< 0.1","69","38390"
"org.cactoos.bytes.BytesOf.<init>(CharSequence) BytesOf.java","68","< 0.1","15","4345"
"org.takes.rs.RsWithBody.lambda$new$0(Response, RsBody) RsWithBody.java","67","1","0.5","55"
"org.takes.rs.RsWithHeader.extend(Iterable, String) RsWithHeader.java","66","0.4","1","165"
"java.util.Formatter$FormatSpecifier.printString(Object, Locale) Formatter.java","64","< 0.1","8","1430"
"java.util.stream.AbstractPipeline.copyInto(Sink, Spliterator) AbstractPipeline.java","64","< 0.1","5","660"
"sun.nio.ch.SocketDispatcher.read(FileDescriptor, long, int) SocketDispatcher.java","63","< 0.1","34","7810"
"org.cactoos.text.FormattedText.<init>(CharSequence, Collection) FormattedText.java","63","< 0.1","3","660"
"org.cactoos.bytes.BytesOf.asBytes() BytesOf.java","63","< 0.1","37","10780"
"java.net.ServerSocket.implAccept(Socket) ServerSocket.java","59","0.5","0","110"
"java.net.ServerSocket.implAccept() ServerSocket.java","59","0.5","0","110"
"java.net.ServerSocket.platformImplAccept() ServerSocket.java","59","0.5","0","110"
"org.cactoos.text.FormattedText.<init>(CharSequence, Locale, Collection) FormattedText.java","58","< 0.1","3","660"
"java.util.LinkedList$ListItr.next() LinkedList.java","57","< 0.1","34","6545"
"java.util.stream.AbstractPipeline.copyIntoWithCancel(Sink, Spliterator) AbstractPipeline.java","56","< 0.1","6","660"
"java.util.regex.Pattern$BmpCharProperty.match(Matcher, int, CharSequence) Pattern.java","56","< 0.1","4","715"
"java.util.LinkedList.linkLast(Object) LinkedList.java","53","< 0.1","35","10120"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.initialTryLock() ReentrantLock.java","53","< 0.1","35","8030"
"java.net.ServerSocket.implAccept(SocketImpl) ServerSocket.java","52","0.4","0","110"
"sun.nio.ch.NioSocketImpl.accept(SocketImpl) NioSocketImpl.java","52","0.4","0","110"
"java.nio.DirectByteBuffer.get(int) DirectByteBuffer.java","52","< 0.1","35","7810"
