"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"io.netty.buffer.ByteBufUtil.writeAscii(AbstractByteBuf, int, CharSequence, int) ByteBufUtil.java","957","0.3","12","2772"
"io.netty.buffer.ByteBufUtil.writeAsciiCharSequence(AbstractByteBuf, int, CharSequence, int) ByteBufUtil.java","945","0.3","176","2772"
"io.netty.channel.AbstractChannelHandlerContext.channel() AbstractChannelHandlerContext.java","929","< 0.1","622","146966"
"io.netty.handler.codec.DefaultHeaders.get(Object) DefaultHeaders.java","906","< 0.1","168","18018"
"io.netty.util.internal.ReferenceCountUpdater.isLiveNonVolatile(ReferenceCounted) ReferenceCountUpdater.java","878","< 0.1","294","42263"
"io.micronaut.http.MutableHttpHeaders.add(CharSequence, ZonedDateTime) MutableHttpHeaders.java","857","1","7","693"
"io.netty.channel.nio.AbstractNioChannel.eventLoop() AbstractNioChannel.java","830","< 0.1","556","131079"
"io.micronaut.core.convert.value.ConvertibleMultiValues.getFirst(CharSequence, ArgumentConversionContext) ConvertibleMultiValues.java","824","0.1","31","6237"
"io.netty.util.concurrent.DefaultPromise.notifyListeners() DefaultPromise.java","813","0.3","36","2068"
"io.netty.channel.ChannelOutboundBuffer.removeBytes(long) ChannelOutboundBuffer.java","806","1","21","693"
"reactor.core.publisher.Operators$LiftFunction.lambda$liftScannable$1(BiFunction, Publisher, CoreSubscriber) Operators.java","780","< 0.1","65","9702"
"io.netty.channel.ChannelOutboundBuffer.remove() ChannelOutboundBuffer.java","755","0.5","18","1374"
"io.micronaut.http.HttpMessage.getContentType() HttpMessage.java","744","0.1","28","4158"
"io.netty.buffer.PoolArena.allocate(PoolThreadCache, int, int) PoolArena.java","744","0.3","17","2068"
"io.netty.buffer.AbstractByteBuf.writeBytes(ByteBuf, int, int) AbstractByteBuf.java","720","0.2","27","3465"
"io.netty.util.concurrent.DefaultPromise.notifyListenersNow() DefaultPromise.java","716","0.3","9","2068"
"io.netty.channel.AbstractChannelHandlerContext.invokeRead() AbstractChannelHandlerContext.java","700","0.1","56","6245"
"io.netty.handler.codec.http.DefaultHttpHeaders.get(CharSequence) DefaultHttpHeaders.java","697","< 0.1","42","9702"
"io.netty.channel.DefaultChannelPipeline.fireChannelReadComplete() DefaultChannelPipeline.java","694","0.9","3","695"
"io.netty.buffer.PooledUnsafeDirectByteBuf._setByte(int, int) PooledUnsafeDirectByteBuf.java","693","< 0.1","231","36729"
"io.micronaut.reactive.reactor.instrument.ReactorInstrumentation.lambda$init$2(ReactorInstrumentation$ReactorInstrumenterFactory, Scannable, CoreSubscriber) ReactorInstrumentation.java","693","< 0.1","55","9702"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelReadComplete(AbstractChannelHandlerContext) AbstractChannelHandlerContext.java","691","0.1","39","4860"
"io.micronaut.http.HttpHeaders.contentType() HttpHeaders.java","691","0.1","18","4158"
"io.netty.util.concurrent.DefaultPromise.notifyListener0(Future, GenericFutureListener) DefaultPromise.java","686","0.2","15","3430"
"io.netty.channel.DefaultChannelPromise.addListener(GenericFutureListener) DefaultChannelPromise.java","684","0.1","14","3430"
"io.netty.channel.DefaultChannelPipeline$HeadContext.write(ChannelHandlerContext, Object, ChannelPromise) DefaultChannelPipeline.java","679","0.4","6","1374"
"io.netty.channel.AbstractChannel$AbstractUnsafe.write(Object, ChannelPromise) AbstractChannel.java","673","0.4","22","1374"
"io.netty.handler.flow.FlowControlHandler.read(ChannelHandlerContext) FlowControlHandler.java","672","0.3","13","2081"
"io.netty.util.concurrent.DefaultPromise.addListener(GenericFutureListener) DefaultPromise.java","669","0.1","31","3430"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelReadComplete() AbstractChannelHandlerContext.java","666","0.1","43","4860"
"io.netty.channel.DefaultChannelPipeline$HeadContext.channelReadComplete(ChannelHandlerContext) DefaultChannelPipeline.java","657","0.9","4","695"
"io.netty.handler.codec.HeadersUtils.getAsString(Headers, Object) HeadersUtils.java","654","< 0.1","47","9702"
"io.netty.channel.DefaultChannelPromise.addListener(GenericFutureListener) DefaultChannelPromise.java","654","0.3","9","2068"
"io.netty.buffer.AbstractReferenceCountedByteBuf.release() AbstractReferenceCountedByteBuf.java","642","0.1","27","4136"
