"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.Vector.<init>(int) Vector.java","11","< 0.1","2","448"
"java.util.Vector.<init>(int, int) Vector.java","9","< 0.1","5","448"
"java.util.ResourceBundle$CacheKey.<init>(String, Locale, Module, Module) ResourceBundle.java","24","< 0.1","11","443"
"java.io.Reader.<init>() Reader.java","1","< 0.1","1","438"
"java.io.StringReader.<init>(String) StringReader.java","5","< 0.1","3","438"
"org.apache.derby.iapi.util.ByteArray.<init>(byte[], int, int) ByteArray.java","1","< 0.1","1","438"
"org.apache.derby.impl.sql.compile.QueryTreeNodeVector.<init>(Class, ContextManager) QueryTreeNodeVector.java","12","< 0.1","6","433"
"java.lang.ref.PhantomReference.<init>(Object, ReferenceQueue) PhantomReference.java","3","< 0.1","2","426"
"org.apache.derby.impl.store.access.btree.index.B2IRowLockingRR.<init>(Transaction, int, LockingPolicy, ConglomerateController, OpenBTree) B2IRowLockingRR.java","3","< 0.1","2","413"
"org.apache.derby.impl.store.access.btree.BTreeForwardScan.<init>() BTreeForwardScan.java","8","< 0.1","2","412"
"org.apache.derby.impl.store.access.btree.BTreeRowPosition.<init>(BTreeScan) BTreeRowPosition.java","3","< 0.1","2","412"
"org.apache.derby.impl.store.access.btree.BTreeScan.<init>() BTreeScan.java","6","< 0.1","5","412"
"org.apache.derby.impl.store.access.btree.index.B2IForwardScan.<init>() B2IForwardScan.java","11","< 0.1","2","412"
"org.apache.derby.impl.store.access.heap.HeapRowLocation.<init>(HeapRowLocation) HeapRowLocation.java","3","< 0.1","2","412"
"org.apache.derby.impl.services.uuid.BasicUUID.<init>(String) BasicUUID.java","364","0.8","9","411"
"java.io.DataInputStream.<init>(InputStream) DataInputStream.java","10","< 0.1","7","396"
"java.io.FilterInputStream.<init>(InputStream) FilterInputStream.java","2","< 0.1","2","396"
"org.apache.derby.iapi.services.io.ArrayInputStream.<init>(byte[]) ArrayInputStream.java","20","< 0.1","6","396"
"org.apache.derby.iapi.services.io.FormatIdInputStream.<init>(InputStream) FormatIdInputStream.java","13","< 0.1","2","396"
"org.apache.derby.impl.store.raw.data.RecordId.<init>(PageKey, int, int) RecordId.java","1","< 0.1","1","393"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.<init>(AbstractQueuedSynchronizer) AbstractQueuedSynchronizer.java","1","< 0.1","1","392"
"org.apache.derby.iapi.store.raw.ContainerKey.<init>(long, long) ContainerKey.java","1","< 0.1","1","392"
